Currency,Rate
WGR,8246216965.049829
WINGS,9.83773683930445e-06
WLK,0.0058
WOP,0.046453
WPR,0.04073
WRC,0.002301
WTC,0.004701
XAUR,0.10301
XBP,0.0027
XBY,0.2889
XCP,6.886416
XCXT,0.095658
XDN,2.371461428481469e-05
XEM,0.019232
XGB,0.0015
XHI,0.001325
XID,0.010924
XLM,0.331041
XMR,226.246138
XNC,0.00018
XRB,20.542692
XRP,2.403864
XTO,0.324858
XTZ,0.860335
XUC,0.00082
XVG,0.006465
XZC,4.96985
YEE,2.00047359946136e-06
YOC,0.00012
YOYOW,0.00787
ZBC,0.01006
ZCL,1.288269
ZEC,31.224753
ZEN,11.685616
ZIL,0.013978
ZNY,0.02
ZRX,0.316527
ZSC,5.003e-05
611,0.389165
